doc_id,source,platform,url,posted_date,rating,raw_text,is_relevant,is_myntra_specific,intent,barriers,information_gap,emotional_state,journey_stage,evidence_strength,evidence_span,new_pattern_note
play_f90d3805-2e27-496a-957d-d7187ec82913,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,superb,True,False,latent_intent,none,,excited,discovery,weak_inference,superb,
play_dbc2bffd-53f1-4009-8dc0-686f0b371b09,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,very rich quality products. budget frndly too,True,False,latent_intent,none,,confident,evaluation,explicit,very rich quality products. budget frndly too,
play_9b95b329-f7f4-4422-aa1a-45e197636bd9,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,best app ever!! Availablity of original brands so far!,True,True,latent_intent,none,,confident,evaluation,explicit,Availablity of original brands so far!,
play_49a83cd2-665e-455a-9904-3b1d07ca8cca,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,This app is really good and helpful.,True,True,latent_intent,none,,confident,evaluation,weak_inference,This app is really good and helpful.,
play_2f358d20-28a4-4e64-a539-b2db9c5b5ec8,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,good,True,False,latent_intent,none,,confident,discovery,weak_inference,good,
play_0192887f-9248-4016-9777-c7e8c8f9709e,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,good experience,True,False,latent_intent,none,,confident,evaluation,weak_inference,good experience,
play_3015b6ec-f139-4018-87b3-83aae18ea5fb,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,very good app no frod,True,True,latent_intent,authenticity_trust,,confident,evaluation,explicit,no frod,
play_3f64853d-9c55-4d6f-ad80-c0ffac698605,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,nice,True,False,latent_intent,none,,confident,discovery,weak_inference,nice,
play_545189b6-4366-4ec7-9677-eacb8f269007,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,good product,True,False,latent_intent,none,,confident,evaluation,weak_inference,good product,
play_ac8e1ca3-4985-4318-b8ef-32c1182922da,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,good app,True,True,latent_intent,none,,confident,discovery,weak_inference,good app,
play_93ec2471-1e39-4185-bde5-f63f102a06a3,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,best shopping app,True,True,latent_intent,none,,confident,evaluation,weak_inference,best shopping app,
play_ce10b2e4-f5ad-4f3f-abde-ffe369e39946,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,"the app is really good. you can purchase branded clothes on this platform,",True,True,latent_intent,none,,confident,evaluation,explicit,you can purchase branded clothes on this platform,
play_a7bd56f6-ba1f-4510-91be-9a6246cc3410,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,🫶🏼,False,False,unclear,none,,excited,unclear,weak_inference,,
play_3ae732ef-a420-401f-a5e5-05cacc324c36,google_play,android_app_review,https://play.google.com/store/apps/details?id=com.myntra.android,2026-08-16,5,outstanding,True,False,latent_intent,none,,excited,evaluation,weak_inference,outstanding,
